team_id,margin,their_score,teleop_points,score,foul_count,auto_points,teleop_total_note_points,auto_leave_points,teleop_amp_note_count,ensemble_bonus_on_stage_robots_threshold,adjust_points,foul_points,auto_amp_note_points,end_game_harmony_points,end_game_park_points,auto_speaker_note_count,teleop_speaker_note_count,end_game_on_stage_points,melody_bonus_threshold_non_coop,auto_speaker_note_points,melody_bonus_threshold,end_game_note_in_trap_points,tech_foul_count,total_points,end_game_spot_light_bonus_points,auto_amp_note_count,teleop_speaker_note_amplified_count,ensemble_bonus_stage_points_threshold,teleop_speaker_note_points,teleop_amp_note_points,rp,auto_total_note_points,melody_bonus_threshold_coop,teleop_speaker_note_amplified_points,end_game_total_stage_points
4188,-6.014624214663243,28.577526965829176,11.771096284144598,22.56290275116593,0.39813873039693937,6.826423181042824,10.628102545251355,1.5860238762763115,0.0351847561912429,0.6666666666666654,0.0,3.9653832859784974,0.01066866203703298,0.04707206060042289,0.8489952738248709,1.0459461285458966,4.621730185426016,0.21011248745955133,6.999999999999982,5.229730642729482,6.546980584134605,0.05034885998560068,0.05318198776106328,22.56290275116593,-0.013534942977197473,0.00533433101851649,0.26989148364161536,3.3333333333333273,9.243460370852032,0.0351847561912429,0.24913893829910827,5.240399304766514,5.999999999999989,1.3494574182080794,1.142993738893248
8575,3.322045070018559,18.92000421136904,16.81583300689602,22.242049281387587,0.026663556230957258,6.817011018180262,14.764678948485516,1.7837384004056467,0.6629333688593295,0.6666666666666674,0.0,-1.3907947436886778,0.001914834363600453,-0.048606668166723946,0.5189293911526701,1.0062715566822016,5.9696485396830585,1.4474143340289272,7.000000000000007,5.031357783411011,7.575178079342501,0.1850494381417167,-0.20353516471299077,22.242049281387587,-0.05163243674607435,0.0009574171818002265,0.4324897000520122,3.333333333333334,11.939297079366117,0.6629333688593295,0.035314858068301015,5.03327261777461,6.0000000000000036,2.1624485002600635,2.0511540584105146
281,2.3289594737863446,19.70497791472125,12.565350690482354,22.033937388507617,0.1928167971752587,7.4531862732495435,12.163342105497001,1.9296614816179036,2.651057513935836,0.6666666666666671,0.0,2.0154004247757187,-0.01413774395942411,-0.1444663167835759,0.6199527604587635,1.107532507118213,0.7101458186287883,-0.28278943701084225,7.0,5.537662535591066,5.373606673308187,0.19994123038562878,0.14418549767439287,22.033937388507617,0.009370347935383435,-0.007068871979712055,1.6183985908607172,3.333333333333336,1.4202916372575767,2.651057513935836,0.6643889917116701,5.523524791631642,6.000000000000002,8.091992954303585,0.4020085849853576
6925,-5.4715679377229005,27.092453131161072,10.03319385309059,21.620885193438177,-0.006934127634003466,10.817506578485855,9.922668956413217,1.2873437785265651,1.5417085299691387,0.6666666666666657,0.0,0.7701847618617308,0.016575331001825813,-0.028553338660942007,0.881405793466987,1.9027174937914912,1.1306478872565051,-0.6011004064246215,6.999999999999989,9.51358746895746,6.466685584450223,-0.21169743593086368,0.6947063155096159,21.620885193438177,0.07047028422680958,0.008287665500912906,1.2239329303862139,3.333333333333329,2.2612957745130102,1.5417085299691387,0.21533270602444388,9.530162799959285,5.999999999999992,6.119664651931069,0.11052489667737014
5130,-2.5707171678603538,23.105303145850076,15.785193623035461,20.534585977989725,0.1913374017924624,5.252566935845731,14.270706567585023,1.6759009668890554,1.2552141512561348,0.6666666666666663,0.0,-0.5031745808914737,-0.006340731766938089,0.36290652625385755,0.49286052366854755,0.7166013401447231,4.892306381905261,1.6131607546218358,6.9999999999999964,3.5830067007236153,6.555112342131206,-0.8264810870728835,0.16027477348388974,20.534585977989725,-0.12795966202091533,-0.0031703658834690445,0.6461759305036726,3.3333333333333313,9.784612763810522,1.2552141512561348,0.2999648720115298,3.5766659689566773,5.999999999999995,3.2308796525183636,1.514487055450442
1648,-10.466947637248712,30.90283902379868,12.871874098839328,20.43589138654997,0.07128841875223951,8.911098237653714,11.395326349380106,1.2214055627277063,1.4422615224228155,0.6666666666666663,0.0,-1.3470809499430643,-0.0035618150855000886,0.43310690748429803,0.3951777164893525,1.5386508980023013,3.7136862045746675,0.9275946888171716,6.999999999999995,7.693254490011513,5.928486341884985,-0.2527433082434584,0.5971980971533132,20.43589138654997,-0.026588255088153497,-0.0017809075427500443,0.5051384835615917,3.333333333333332,7.427372409149335,1.4422615224228155,0.6337900769714482,7.689692674926013,5.999999999999999,2.525692417807959,1.476547749459212
1746,-9.555792628924504,29.140682568221344,3.9873263411628708,19.584889939296836,0.2774869659563239,14.169376324376142,3.844337360437989,0.9481642829434854,-0.06315401065885418,0.6666666666666665,0.0,1.428187273757838,0.001266497920738748,0.13450682858301008,0.18947037460283866,2.643989108702382,2.3411173228291533,0.04866995912974509,7.000000000000002,13.219945543511912,7.445675019574541,-0.22157880088815718,-0.3078139151495725,19.584889939296836,-0.008079380702556978,0.000633248960369374,-0.15494865491229262,3.3333333333333335,4.682234645658307,-0.06315401065885418,0.06558942296976986,13.22121204143265,6.0,-0.7747432745614632,0.14298898072487987
5293,-13.990667487487013,33.20795804033884,11.044127669403746,19.217290552851864,0.42475137723978196,8.78744513571403,10.32570457758713,1.2450746287776742,2.9055659961465214,0.666666666666666,0.0,-0.6142822522659205,-0.026436988993507583,0.013441681440179445,0.40848734715919804,1.513761499185975,-0.8669781865739892,-0.10120421697953186,6.999999999999989,7.568807495929871,5.9544153983240395,0.37972208946185676,0.21915523649276336,19.217290552851864,0.017976190734915038,-0.013218494496753792,1.8308189909177162,3.333333333333332,-1.7339563731479783,2.9055659961465214,0.5382734236865973,7.542370506936363,5.999999999999988,9.154094954588583,0.7184230918166177
3329,1.7356092220653951,16.119082580429627,8.822024654732758,17.85469180249501,-0.057703619638130144,6.019103751120076,7.014119733658152,1.001597921930831,1.493957041065117,0.6666666666666667,0.0,3.013563396642187,-0.005696107046940065,0.09595471729147298,0.2702795854438481,1.0046403872472376,2.0723188952463243,1.1301745452021617,7.000000000000001,5.0232019362361875,6.071312254426486,0.2644502155740207,-0.19079759722501438,17.85469180249501,0.04704585756310018,-0.0028480535234700326,0.27510498042007786,3.333333333333333,4.144637790492649,1.493957041065117,0.6684543247049584,5.017505829189248,6.0,1.3755249021003908,1.8079049210746043
9260,1.4077136960856569,15.630894177143391,10.384286400856457,17.038607873229036,-0.10579038684111763,6.9366693271766735,9.10783925995532,1.3055156873472065,1.6133934792850768,0.6666666666666644,0.0,-0.282347854804085,8.681349625084655e-05,-0.02850461210977884,0.1574803436734757,1.1262133652666428,1.6951712275531465,1.0102690914195867,6.999999999999976,5.631066826333214,6.302567853416951,-0.001978875271574483,-0.45480251127664034,17.038607873229036,0.1391811931894235,4.3406748125423276e-05,0.8208206651127906,3.3333333333333224,3.390342455106293,1.6133934792850768,0.64214540971982,5.631153639829465,5.99999999999998,4.104103325563954,1.2764471409011322
