start_timestamp,end_timestamp,duration,travel_to,deploy,travel_from,cycle_type,event_key,ts,match_type,match_number,cycle_timestamp,filename,match_index
281.718466,301.698449,19.979983000000004,9.339981000000023,5.260019,5.3799829999999815,L4,2025practice,2025-03-15 13:17:47,Prac,0,2025-03-15 13:22:28.718466000,akit_25-03-15_13-17-47.wpilog,28
301.698449,359.558458,57.86000899999999,47.10004500000002,-0.07998800000001438,10.839951999999982,L2,2025practice,2025-03-15 13:17:47,Prac,0,2025-03-15 13:22:48.698449000,akit_25-03-15_13-17-47.wpilog,29
501.607866,539.607634,37.99976799999996,8.939764000000025,5.060031999999978,23.999971999999957,L4,2025practice,2025-03-15 13:17:47,Prac,0,2025-03-15 13:26:08.607866000,akit_25-03-15_13-17-47.wpilog,30
539.607634,554.467631,14.859997000000021,5.320010000000025,6.81996300000003,2.7200239999999667,L4,2025practice,2025-03-15 13:17:47,Prac,0,2025-03-15 13:26:46.607634000,akit_25-03-15_13-17-47.wpilog,31
554.467631,566.807591,12.33996000000002,6.039990999999986,3.0400300000000016,3.2599390000000312,L3,2025practice,2025-03-15 13:17:47,Prac,0,2025-03-15 13:27:01.467631000,akit_25-03-15_13-17-47.wpilog,32
566.807591,578.067627,11.260036000000014,3.5999990000000253,3.7600289999999177,3.9000080000000708,L3,2025practice,2025-03-15 13:17:47,Prac,0,2025-03-15 13:27:13.807591000,akit_25-03-15_13-17-47.wpilog,33
578.067627,594.167673,16.10004600000002,2.9199929999999767,,,L2,2025practice,2025-03-15 13:17:47,Prac,0,2025-03-15 13:27:25.067627000,akit_25-03-15_13-17-47.wpilog,34
594.167673,608.62762,14.459946999999943,4.419944999999984,5.000004999999987,5.039996999999971,L3,2025practice,2025-03-15 13:17:47,Prac,0,2025-03-15 13:27:41.167673000,akit_25-03-15_13-17-47.wpilog,35
74.301558,114.727536,40.425978,29.125929999999997,3.280011000000002,8.020037000000002,L4,2025practice,2025-03-15 13:28:58,Prac,0,2025-03-15 13:30:12.301558000,akit_25-03-15_13-28-58.wpilog,36
114.727536,121.707512,6.9799759999999935,,,,L1,2025practice,2025-03-15 13:28:58,Prac,0,2025-03-15 13:30:52.727536000,akit_25-03-15_13-28-58.wpilog,37
121.707512,128.507496,6.799984000000009,,,,L1,2025practice,2025-03-15 13:28:58,Prac,0,2025-03-15 13:30:59.707512000,akit_25-03-15_13-28-58.wpilog,38
19.365558,36.84155,17.475991999999998,,,,L1,2025practice,2025-03-15 13:38:10,Prac,0,2025-03-15 13:38:29.365558000,akit_25-03-15_13-38-10.wpilog,39
36.84155,49.593321,12.751771000000005,5.3273009999999985,6.060081000000004,1.3643890000000027,L4,2025practice,2025-03-15 13:38:10,Prac,0,2025-03-15 13:38:46.841550000,akit_25-03-15_13-38-10.wpilog,40
49.593321,60.941302,11.347980999999997,4.363609999999994,4.084376000000006,2.899994999999997,L4,2025practice,2025-03-15 13:38:10,Prac,0,2025-03-15 13:38:59.593321000,akit_25-03-15_13-38-10.wpilog,41
127.754076,138.934068,11.179991999999999,5.00000399999999,3.9599800000000016,2.220008000000007,L4,2025practice,2025-03-15 13:41:58,Prac,0,2025-03-15 13:44:05.754076000,akit_25-03-15_13-41-58.wpilog,42
138.934068,170.695842,31.761774000000003,4.319980000000015,20.00174099999998,7.440053000000006,L4,2025practice,2025-03-15 13:41:58,Prac,0,2025-03-15 13:44:16.934068000,akit_25-03-15_13-41-58.wpilog,43
170.695842,179.17577,8.479928000000001,3.0199210000000107,3.34003899999999,2.119968,L3,2025practice,2025-03-15 13:41:58,Prac,0,2025-03-15 13:44:48.695842000,akit_25-03-15_13-41-58.wpilog,44
179.17577,188.935779,9.760008999999997,2.6400179999999978,3.0400109999999927,4.079980000000006,L3,2025practice,2025-03-15 13:41:58,Prac,0,2025-03-15 13:44:57.175770000,akit_25-03-15_13-41-58.wpilog,45
188.935779,199.544449,10.60866999999999,4.820031999999998,2.608091999999999,3.1805459999999925,L2,2025practice,2025-03-15 13:41:58,Prac,0,2025-03-15 13:45:06.935779000,akit_25-03-15_13-41-58.wpilog,46
199.544449,204.184435,4.639986000000022,2.9994800000000055,,,L2,2025practice,2025-03-15 13:41:58,Prac,0,2025-03-15 13:45:17.544449000,akit_25-03-15_13-41-58.wpilog,47
204.184435,204.743885,0.5594499999999982,0.13943999999997914,,,L2,2025practice,2025-03-15 13:41:58,Prac,0,2025-03-15 13:45:22.184435000,akit_25-03-15_13-41-58.wpilog,48
204.743885,213.963828,9.219943,0.0,0.19998699999999303,9.019956000000008,L1,2025practice,2025-03-15 13:41:58,Prac,0,2025-03-15 13:45:22.743885000,akit_25-03-15_13-41-58.wpilog,49
213.963828,227.923853,13.960025000000002,4.08005399999999,4.7603750000000105,5.119596000000001,L4,2025practice,2025-03-15 13:41:58,Prac,0,2025-03-15 13:45:31.963828000,akit_25-03-15_13-41-58.wpilog,50
248.131814,263.311836,15.180022000000037,7.560015000000021,5.020001000000008,2.6000060000000076,L4,2025practice,2025-03-15 13:49:29,Prac,0,2025-03-15 13:53:37.131813999,akit_25-03-15_13-49-29.wpilog,51
30.862514,36.145183,5.282669000000002,,,,L1,2025practice,2025-03-15 13:55:16,Prac,0,2025-03-15 13:55:46.862514000,akit_25-03-15_13-55-16.wpilog,52
36.145183,53.580922,17.435738999999998,6.124133999999998,8.025027000000001,3.2865779999999987,L4,2025practice,2025-03-15 13:55:16,Prac,0,2025-03-15 13:55:52.145183000,akit_25-03-15_13-55-16.wpilog,53
53.580922,65.186061,11.605138999999994,5.365141999999999,3.6800050000000013,2.559991999999994,L4,2025practice,2025-03-15 13:55:16,Prac,0,2025-03-15 13:56:09.580922000,akit_25-03-15_13-55-16.wpilog,54
65.186061,104.266033,39.079972,10.040002000000001,21.839990999999998,7.199978999999999,L3,2025practice,2025-03-15 13:55:16,Prac,0,2025-03-15 13:56:21.186061000,akit_25-03-15_13-55-16.wpilog,55
104.266033,132.526067,28.26003400000002,10.980060000000009,16.07995600000001,1.200018,L4,2025practice,2025-03-15 13:55:16,Prac,0,2025-03-15 13:57:00.266033000,akit_25-03-15_13-55-16.wpilog,56
132.526067,165.96606,33.43999299999999,7.959991000000002,18.399985999999984,7.0800160000000005,L4,2025practice,2025-03-15 13:55:16,Prac,0,2025-03-15 13:57:28.526066999,akit_25-03-15_13-55-16.wpilog,57
165.96606,177.446079,11.480018999999999,5.159978999999993,2.640036000000009,3.6800039999999967,L3,2025practice,2025-03-15 13:55:16,Prac,0,2025-03-15 13:58:01.966060000,akit_25-03-15_13-55-16.wpilog,58
177.446079,188.826059,11.379979999999989,5.939970000000017,3.1800079999999866,2.260001999999986,L3,2025practice,2025-03-15 13:55:16,Prac,0,2025-03-15 13:58:13.446079000,akit_25-03-15_13-55-16.wpilog,59
27.380899,32.7041,5.323200999999997,,,,L1,2025practice,2025-03-15 14:11:46,Prac,0,2025-03-15 14:12:13.380899000,akit_25-03-15_14-11-46.wpilog,60
32.7041,47.205414,14.501314,7.700735000000002,4.494035000000004,2.3065439999999953,L4,2025practice,2025-03-15 14:11:46,Prac,0,2025-03-15 14:12:18.704100000,akit_25-03-15_14-11-46.wpilog,61
47.205414,58.128359,10.922945000000006,3.7200540000000046,4.622900999999999,2.5799900000000022,L4,2025practice,2025-03-15 14:11:46,Prac,0,2025-03-15 14:12:33.205414000,akit_25-03-15_14-11-46.wpilog,62
58.128359,68.668487,10.540127999999996,4.260025999999996,5.160405999999995,1.1196960000000047,L4,2025practice,2025-03-15 14:11:46,Prac,0,2025-03-15 14:12:44.128359000,akit_25-03-15_14-11-46.wpilog,63
68.668487,85.248551,16.580064000000007,5.980222999999995,6.899766,3.7000750000000124,L4,2025practice,2025-03-15 14:11:46,Prac,0,2025-03-15 14:12:54.668487000,akit_25-03-15_14-11-46.wpilog,64
85.248551,105.368846,20.120295,6.580037999999988,10.699974000000012,2.8402829999999994,L3,2025practice,2025-03-15 14:11:46,Prac,0,2025-03-15 14:13:11.248551000,akit_25-03-15_14-11-46.wpilog,65
105.368846,115.908529,10.539682999999997,4.919719999999998,3.0199949999999944,2.599968000000004,L3,2025practice,2025-03-15 14:11:46,Prac,0,2025-03-15 14:13:31.368846000,akit_25-03-15_14-11-46.wpilog,66
115.908529,128.328626,12.420097000000013,5.820025999999999,3.5803169999999938,3.0197540000000203,L3,2025practice,2025-03-15 14:11:46,Prac,0,2025-03-15 14:13:41.908529000,akit_25-03-15_14-11-46.wpilog,67
128.328626,140.348544,12.01991799999999,5.319935999999984,1.4200030000000083,5.279978999999997,L2,2025practice,2025-03-15 14:11:46,Prac,0,2025-03-15 14:13:54.328626000,akit_25-03-15_14-11-46.wpilog,68
140.348544,161.788615,21.44007099999999,6.100019000000003,11.480223999999993,3.859827999999993,L4,2025practice,2025-03-15 14:11:46,Prac,0,2025-03-15 14:14:06.348544000,akit_25-03-15_14-11-46.wpilog,69
161.788615,175.608569,13.819953999999996,6.819945000000018,3.839979999999997,3.16002899999998,L3,2025practice,2025-03-15 14:11:46,Prac,0,2025-03-15 14:14:27.788615000,akit_25-03-15_14-11-46.wpilog,70
100.920639,105.880816,4.960177000000002,,,3.120147000000003,L1,2025practice,2025-03-15 14:29:41,Prac,0,2025-03-15 14:31:21.920639000,akit_25-03-15_14-29-41.wpilog,71
105.880816,119.231065,13.350249000000005,8.019869999999997,3.46530700000001,1.8650719999999978,L4,2025practice,2025-03-15 14:29:41,Prac,0,2025-03-15 14:31:26.880816000,akit_25-03-15_14-29-41.wpilog,72
